Прізвище,Релігія
Адаменко,Православні
Бабій,Православні
Байдилюк,Православні
Берун,Православні
Блиндар,Православні
Бондар,Православні
Босевич,Православні
Бурлака,Православні
Веремій,Православні
Віштал,Православні
Войченко,Православні
Вуйко,Православні
Гейко,Православні
Гордінчук,Православні
Грива,Православні
Гримальський,Православні
Давиденко,Православні
Деревянка,Православні
Довгий,Православні
Домільчинко ва,Православні
Дорош,Православні
Євич,Православні
Євфремов,Православні
Єжакевич,Православні
Єримчук,Православні
Жвавий,Православні
Жукар ева ич,Православні
Заболотний,Православні
Загородний,Православні
Загребельний,Православні
Заремба,Православні
Захарієвич,Православні
Зубицький,Православні
Зубченко,Православні
Ігнатенко,Православні
Киреченко,Православні
Киришун,Православні
Кифорук,Православні
Коваленко,Православні
Ковальчук,Православні
Ковтун,Православні
Козиненко,Православні
Коріний,Православні
Костюк,Православні
Кравченко,Православні
Кравчук,Православні
Крижановський,Православні
Левадка,Православні
Лисий,Православні
Лисій,Православні
Лукіянчук,Православні
Лущенко,Православні
Медолиз,Православні
Мидолиз,Православні
Мильничук,Православні
Мовчан,Православні
Мосенз,Православні
Нагорний,Православні
Накревка,Православні
Ніколаєвич,Православні
Орловський,Православні
Очеретний,Православні
Пагурець,Православні
Партицький,Православні
Пастушенко,Православні
Пашиник,Православні
Пендзай,Православні
Пензай,Православні
Пересунько,Православні
Поддубний,Православні
Поліщук,Православні
Полуменко,Православні
Пономаренко,Православні
Прокопюк,Православні
Пятецький,Православні
Ремиз,Православні
Розум,Православні
Руденко,Православні
Ружицький,Православні
Саквенко,Православні
Сачок,Православні
Сверида,Православні
Свистуненко,Православні
Секал,Православні
Середа,Православні
Сиваченко,Православні
Ситник,Православні
Сікал,Православні
Склярук,Православні
Скрипник,Православні
Смоктій,Православні
Соловльов,Православні
Стеценко,Православні
Строкач,Православні
Сухомлин,Православні
Ткаченко,Православні
Чепурковський,Православні
Чередниченко,Православні
Черешенка,Православні
Черкас,Православні
Шарий,Православні
Шельпаховський,Православні
Шершун,Православні
Школьник,Православні
Штогрин,Православні
Янковенко,Православні
Яремчук,Православні
Сухомуд,Православні
Пашинін,Православні
Килярук,Православні
Мельничук,Православні
Лукіячук,Православні
Куперман,Юдеї
Тарасюк,Юдеї
Грінберг,Юдеї
Грінбарг,Юдеї
