Прізвище,сповідання
Антонюк,православний
Баландюк,православний
Баскаков,православний
Бирка,православний
Бойко,православний
Бондар,православний
Бондарчук,православний
Борсук,православний
Боруца,православний
Брикун,православний
Брунь,православний
Ващук,православний
Венгерчук,православний
Войниковський,православний
Волинець,православний
Вялий,православний
Гаврелюк,православний
Гавриленко,православний
Гаврилюк,православний
Гандзюк,православний
Гапинюк,православний
Глухенький,православний
Глушко,православний
Гнатюк,православний
Горничний,православний
Гречка,православний
Громовой,православний
Гудзевич,православний
Гуменюк,православний
Гусарчук,православний
Демянук,православний
Демянюк,православний
Димчук,православний
Дихнич,православний
Добровольський,православний
Допіра,православний
Дощук,православний
Дубовенко,православний
Загребельний,православний
Закорчемний,православний
Зеліцький,православний
Зозуля,православний
Зубов,православний
Ісаєв,православний
Казимирчук,православний
Калацюк,православний
Калиновський,православний
Карась,православний
Карий,православний
Карук,православний
Карук-Романов,православний
Каченовський,православний
Ковальчук,православний
Козинюк,православний
Колісниченко,православний
Коломєєць,православний
Коломієць,православний
Коржук,православний
Корольов,православний
Косий,православний
Косой,православний
Кравчина,православний
Кривоус,православний
Кругляк,православний
Кулішенко,православний
Куркодим,православний
Ливцун,православний
Лисовий,православний
Лисюк,православний
Личко,православний
Лукіянчук,православний
Луць,православний
Лялюшка,православний
Мазійчук,православний
Макарчук,православний
Малаховський,православний
Малюк,православний
Манаховський,православний
Манацюк,православний
Мелничук,православний
Мельничук,православний
Михалюк,православний
Мішута,православний
Можаровський,православний
Момот,православний
Мотрунич,православний
Овчинніков,православний
Огородник,православний
Олейник,православний
Олексейчук,православний
Олексійчук,православний
Олексочка,православний
Омельчук,православний
Павленко,православний
Павловський,православний
Панасюк,православний
Пашинський,православний
Пивовар,православний
Пилипчук,православний
Пишняк,православний
Плендращий,православний
Покотило,православний
Полішук,православний
Поліщук,православний
Порицький,православний
Пшенишний,православний
Разовенко,православний
Річняк,православний
Рудюк,православний
Рюдюк,православний
Салогуб,православний
Семенчук,православний
Серветник,православний
Сильвейструк,православний
Скарбенчук,православний
Скаржинець,православний
Слюсар,православний
Стадник,православний
Стецюк,православний
Столяр,православний
Стрєльцов,православний
Струцинський,православний
Суходольский,православний
Терещук,православний
Тимошук,православний
Тищенко,православний
Трусь,православний
Хранитель,православний
Хрущ,православний
Хрущенко,православний
Цирук,православний
Чернишук,православний
Чорний,православний
Шевель,православний
Шевчук,православний
Шепилюк,православний
Шиманський,православний
Шимковський,православний
Шмілюк,православний
Шпарка,православний
Шумбар,православний
Щербатюк,православний
Щербина,православний
Ярема,православний
Яремчук,православний
Пенхержевський,католик
Єнжиєвський,католик
Шишковський,католик
Тарнавецький,католик
Ягодзінський,католик
Сухоцький,католик
Зеліцький,католик
Ясіновський,юдей
Островський,юдей
Крівіцкій,юдей
