Прізвище,Релігія,Примітка
Балка,православний,
Безпрозванний,православний,
Бик,православний,
Бик,православний,
Білоус,православний,усадьба дворян Єловіцьких
Богуславський,православний,усадьба дворян Єловіцьких
Брижатий,православний,
Бровчук,православний,
Будаловський,православний,
Булечак,православний,
Буяшев,православний,
Вдовиченко,православний,
Венжик,православний,усадьба дворян Єловіцьких
Вікнянський,православний,
Галак,православний,
Галамага,православний,
Галущак,православний,усадьба дворян Єловіцьких
Галущик,православний,
Гненний,православний,
Голуб,православний,
Гопенко,православний,
Горщук,православний,
Грушовенко,православний,усадьба дворян Єловіцьких
Грушовенко,православний,
Дацюк,православний,
Дженжерук,православний,
Дишкант,православний,
Дідов,православний,усадьба дворян Єловіцьких
Домнич,православний,
Драган,православний,
Дука,православний,
Дьячук,православний,
Жовтобруха,православний,усадьба дворян Єловіцьких
Жовтобрюха,православний,
Жуковський,православний,усадьба дворян Єловіцьких
Заболотній,православний,усадьба дворян Єловіцьких
Завидняк,православний,усадьба дворян Єловіцьких
Задерей,православний,
Задерій,православний,
Задуярний,православний,
Закерничний,православний,
Згуральский,православний,
Зозуля,православний,усадьба дворян Єловіцьких
Зражевський,православний,
Зубачевський,православний,
Касько,православний,усадьба дворян Єловіцьких
Качур,православний,
Килинський,православний,
Клименко,православний,
Коваль,православний,
Ковальський,православний,
Ковела,православний,
Козак,православний,
Козаченко,православний,
Колесников,православний,усадьба дворян Єловіцьких
Коломієць,православний,
Кривий,православний,
Крутиголов,православний,
Лисак,православний,
Лукашевський,православний,
Любчик,православний,
Мазурик,православний,
Мальований,православний,
Медвідь,православний,
Мельник,православний,усадьба дворян Єловіцьких
Мендусь,православний,
Назаренко,православний,
Найда,православний,
Нескородяний,православний,
Обрійчук,православний,
Осипчук,православний,
Павловський,православний,
Пасічнюк,православний,
Петровський,православний,
Покотило,православний,
Поплавський,православний,
Прімиський,православний,
Рахман,православний,
Рилов,православний,
Римарчук,православний,
Рожковський,православний,
Роликовський,православний,усадьба дворян Єловіцьких
Романенко,православний,
Романчук,православний,
Ружицький,православний,
Святигора,православний,
Святогора,православний,
Сивак,православний,
Сливка,православний,усадьба дворян Єловіцьких
Слободский,православний,
Собко,православний,
Собчук,православний,
Співак,православний,
Танасійчук,православний,
Ткачук,православний,
Фоменко,православний,
Франко,православний,
Хмілевський,православний,
Хойца,православний,
Цвигун,православний,
Чепкий,православний,
Шаманський,православний,
Шендерський,православний,
Яковенко,православний,
Яцюк,православний,усадьба дворян Єловіцьких
Бренер,юдей,
Городецький,юдей,
Дайчман,юдей,
Ліберчук,юдей,
Поляк,юдей,
Трубнік,юдей,
Шварцман,юдей,
Гофнер,католик,
Єловицький,католик,
Зубовський,католик,
Сніховський,католик,
Штанкевич,католик,
Юзефович,католик,
