Прізвище,сповідання
Березовський,православний
Бернатович,православний
Борисевич,православний
Бростовський,православний
Васьковський,православний
Весоловський,православний
Вишневський,православний
Вишневський,католик
Волотовський,православний
Грабовецький,православний
Дідескул,православний
Дідковський,православний
Забіла,православний
Забіло,православний
Заремба,православний
Кобилінський,православний
Коноплястий,православний
Корбут,православний
Корбут,католик
Корзун,православний
Крушельницький,православний
Левковський,православний
Меленовський,православний
Мєчковський,православний
Михаловський,православний
Мошковський,православний
Пількевич,православний
Рудковський,православний
Рудковський,католик
Сиваковський,православний
Соловецький,православний
Соловецький,католик
Соловицький,католик
Тесменецький,православний
Тхоревський,православний
Уляновський,православний
Ярмульський,православний
Яценко,православний
