Прізвище,Релігія,Примітка
Алексієнко,Православні,
Бабенко,Православні,
Бай,Православні,
Байда,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Барченко,Православні,
Бас,Православні,
Башинський,Православні,
Безроженко,Православні,
Білан,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Білозор,Православні,
Білоус,Православні,
Білоус,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Божко,Православні,
Бондаренко,Православні,
Бондаренко,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Бочко,Православні,
Браславський,Православні,
Бриж,Православні,
Булеховець,Православні,
Бурлака,Православні,
Вайзман,Юдеї,
Вевальнюк,Православні,
Вивальнюк,Православні,
Винник,Православні,
Войченко,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Волошин,Православні,
Волошин,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Вуйван,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Ганущук,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Ганчаренко,Православні,
Гарнага,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Гойфман,Юдеї,
Гойхман,Юдеї,
Голубенко,Православні,
Гольдштейн,Православні,
Гоменюк,Православні,
Гончаренко,Православні,
Гордієв,Православні,
Горниченко,Православні,
Грабовенко,Православні,
Грабовенко,Православні,"хутор ""Видумка"""
Гриневич,Православні,
Гриценко,Православні,
Грінченко,Православні,
Гулька,Юдеї,
Давиденко,Православні,
Деркач,Православні,
Дідух,Православні,
Долгань,Православні,
Жабоєдов,Православні,
Заблоцький,Православні,
Заболотний,Православні,
Заграничний,Православні,
Заграничний,Православні,"хутор ""Видумка"""
Заяць,Православні,
Казимиренко,Православні,
Казмиренко,Православні,
Каленичук,Православні,
Карпенко,Православні,
Кашкет,Юдеї,
Кишенька,Православні,
Ковтун,Православні,
Когут,Православні,
Кожуховський,Православні,
Козубенко,Православні,
Колесник,Православні,
Коломоєць,Православні,
Корнічук,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Король,Православні,
Кривда,Православні,
Крижановський,Православні,
Крочак,Православні,
Кузменко,Православні,
Кузнєцов,Православні,
Кулачинський,Православні,
Кулик,Православні,
Кулик,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Куртенко,Православні,
Кучеренко,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Лебедь,Православні,
Лобань,Православні,
Луценко,Православні,
Майборода,Православні,
Марченко,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Мельник,Православні,
Мельников,Православні,
Мельниченко,Православні,
Миронюк,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Михальський,Православні,
Мних,Православні,
Могельницький,Православні,
Могильницький,Православні,
Музика,Православні,
Мул,Православні,
Муха,Православні,
Намітчина,Православні,
Нестеренко,Православні,
Нестеровський,Православні,
Нижник,Православні,
Новосельський,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Олейник,Православні,
Осадченко,Православні,
Осичка,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Павлюк,Православні,
Панасюк,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Параскун,Православні,
Пастушенко,Православні,
Паук,Православні,
Пашутін,Православні,"хутор ""Видумка"""
Пащенко,Православні,
Пересунька,Православні,
Петрик,Православні,
Петринський,Православні,
Письменний,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Плясецький,Православні,
Подвальний,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Подзігун,Православні,
Позігун,Православні,
Порощук,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Пшонай,Православні,
Пятиног,Православні,
Рабенко,Православні,
Ратушняк,Православні,
Ревнюк,Православні,
Рибак,Православні,
Рижий,Православні,
Рогаченко,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Ромасевич,Православні,
Саблук,Православні,
Савлук,Православні,
Свистільник,Православні,
Свінцицький,Католики,
Середюк,Православні,
Сівач,Православні,
Слюсаренко,Православні,
Смілянець,Православні,
Сніцар,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Сорока,Православні,
Стельмах,Православні,
Суходольський,Православні,
Таранюк,Православні,
Ткаченко,Православні,
Токарчук,Православні,
Тонкий,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Фабрика,Православні,
Фавор,Юдеї,
Филипенко,Православні,
Футоран,Православні,
Царук,Православні,"хутор ""Видумка"""
Цвітоха,Православні,
Чайка,Православні,
Червінський,Православні,
Черноморець,Православні,
Черчук,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Чиж,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Чуба,Православні,
Шапіро,Юдеї,
Шаровський,Православні,
Шевченко,Православні,
Шевчук,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Щербаков,Православні,"хутор ""Виселок"" (Нестеровка і Кищенці+Цеберманівка)"
Щербачук,Православні,
Юрченко,Православні,
