Прізвище,Релігія,Примітка
Біловій,Православні,
Боржковський,Православні,
Брижатий,Православні,
Брова,Православні,
Бурдейний,Православні,
Вдовиченко,Православні,
Вовнянка,Православні,
Волошин,Православні,
Волчанський,Православні,
Гелема,Православні,
Гнатюк,Православні,
Гнидець,Православні,
Гулик,Православні,
Деркач,Православні,
Дзюбанюк,Православні,
Дзюбелюк,Православні,
Дідур,Православні,
Діхтярук,Православні,
Дьячук,Православні,
Жовтобруха,Православні,
Іванюта,Православні,
Колісниченко,Православні,
Кривобокий,Православні,
Кривовський,Православні,
Кушталь,Православні,
Магаляс,Православні,
Мельник,Православні,
Мельничук,Православні,
Митка,Православні,
Новицький,Православні,
Ошовський,Православні,
Павук,Православні,
Панченко,Православні,
Подгородецький,Православні,
Посесор,Православні,
Репаль,Православні,
Римарчук,Православні,
Романюк,Православні,
Савченко,Православні,
Славінський,Православні,
Слободяник,Православні,
Сокур,Православні,
Соновський,Православні,
Співак,Православні,
Тимановський,Православні,
Торкановський,Православні,
Хрипун,Православні,пом Єловицький
Чоканюк,Православні,
Чопенко,Православні,
Чорний,Православні,
Шевчук,Православні,
Шугайло,Православні,
Яковенко,Православні,
Дайман,Юдеї,
Гельман,Юдеї,
