Роль,Прізвище,Примітка,Аркуш
Духовные. Села Антоновки Свято Михайловской церкви приходский священник,Стопакевич?,,66
дьячек,Загурский,,66
пономар,Богачевич,,66
Военные. унтер офицер,Цыхмистров,,66
унтер офицер,Дяков,,66
канонер,Безкороваиный,,66
рядовий,Патрило,,66
Дворяне,Борыславский,,67
,Лозеньский,,67
,Борсуковский,,67
,Бачинский,,67
,Бачиньский,,67
,Бржишиньский,,67
,Долиньский,,67
,Милоцка,,67
,Береговский,,67
,Юрьичка,,67
Поселяне,Мелник,,67
,Бурлака,,67
,Шпикуляк?,,67
,Радзивол,,68
,Бадула,,68
,Комар,,68
,Комаров,,68
,Цымбал,,68
,Романов,,68
,Телепеньцов,,68
,Чокан,,68
,Чоканов,,68
,Гавришков,,68
,Суслов,,68
,Цявлюк,,69
,Боиков,,69
,Луцышин,,69
,Диня,,69
,Артемиха,,69
,Клим,,69
,Гупалюк,,69
,Яровый,,69
,Климиха,,69
,Бригидир,,69
,Староста,,69
,Килимник,,70
,Телепенька,,70
,Телепеньков,,70
,Кушнир,,70
,Рыбаков,,70
,Цявлюк,,70
,Лукийчук,,70
,Ставничук,,70
,Ставничуков,,70
,Красножон,,70
,Калинчук,,71
,Яровий,,71
,Красножонюк,,71
,Бугай,,71
,Грущецкий,,71
,Бушняк,,71
,Кабак,,71
,Балабух,,71
,Топоровский,,71
,Деманов,,71
,Остапов,,72
,Бабий,,72
,Любиха,,72
,Ребыдак,,72
,Сташко,,72
,Черниш,,72
,Корехний,,72
,Шистопальков,,72
,Остапчук,,72
,Кошариньский,,72
,Зелений,,72
,Слободяник,,73
,Лесьчиха,,73
,Балдинюк,,73
,Годований,,73
,Сыниця,,73
,Кушниров,,73
,Кузь,,73
,Певторак,,73
,Боднар,,74
,Балиньский,,74
,Самаров,,74
,Пукач,,74
,Фицак,,74
,Кадучак,,74
,Иванив,,74
,Шаргородска,,74
,Николишин,,74
,Очеретный,,74
,Щытиньский,,75
,Коновальчук,,75
,Леськов,,75
,Стояцкий,,75
,Сташков,,75
,Присяжко,,75
,Ширимета,,75
,Ширеметов,,75
,Рыньгачик,,75
,Белоусов,,75
,Николайчук,,75
,Бантовский,,75
,Совышин,,76
,Совишин,,76
,Стефанцев,,76
,Зозуля,,76
,Гупалов,,76
,Пендей,,76
,Макогонюк,,76
,Рыгилюк,,76
,Пасинко,,77
,Проданов,,77
,Безкоровайний,,77
,Пономарчук,,77
,Самар,,77
,Саиньский,,77
,Сливка,,77
,Городенко,,78
,Сливков,,78
,Рыньгач,,78
,Ковалишин,,78
,Копичиньский,,78
,Затирка,,78
,Писанний,,78
,Цымбалистий,,78
,Хашайдула,,78
,Кузив,,79
,Жарук,,79
,Постоветов,,79
,Постовет,,79
,Макогонов,,79
,Обыртун,,79
,Вергилесов,,80
,Рабков,,80
,Матеяшин,,80
,Гурин,,80
,Сердюк,,80
,Сердюков,,81
,Григорев,,81
,Юрков,,81
,Крикливий,,81
,Бугаив,,81
,Григоров,,81
,Афенийка,,81
,Цыхмистров,,81
,Гусаков,,81
,Гусак,,81
,Дарморос,,81
,Жмурков,,81
,Адамциов,,82
,Вевчарик,,82
,Лукияниха,,82
,Павлев,,82
,Романчик,,82
,Меечиха,,82
,Федоришин,,83
,Бобовский,,83
,Цыма,,83
,Цымов,,83
,Просяник,,83
,Салюк,,83
,Мяетов,,84
,Меечков,,84
,Писаренков,,84
,Саула,,84
,Самуилиха,,84
,Самилев,,84
,Шистопалько,,84
,Гончар,,84
,Тыминиха,,85
,Тыминов,,85
,Ширеметюк,,85
,Кухар,,85
,Ягор,,85
,Коваль,,85
,Ферузчиха,,85
Селца Яльжбытовки,Письменюк,,85
,Макогониха,,85
,Тымина,,85
,Тыминов,,85
,Околета,,86
,Балдючка,,86
,Паньчиха,,86
,Савков,,86
,Свистосючка,,86
,Ганчаручка,,86
,Пендей,,86
,Патрило,,86
,Просяник,,86
,Юрков,,86
,Медвидюк,,86
,Швидка,,86
,Якубов,,86
,Лавриха,,87
,Загривняк,,87
,Патрилюк,,87
,Колесник,,87
,Вылянский,,87
,Ковалик,,87
,Гандзюк,,87
,Гринишин,,87
,Халабуда,,87
,Макарик,,88
,Просяник,,88
,Самарук,,88
