Прізвище,Релігія
Алексєєнко,Православні
Андрійчук,Православні
Бабка,Православні
Бабяк,Православні
Балда,Православні
Барченко,Православні
Безкоровайний,Православні
Бекер,Православні
Бойченко,Православні
Бондаренко,Православні
Варгатюк,Православні
Великий,Православні
Виноградов,Православні
Гончаренко,Православні
Гончарук,Православні
Гринюк,Православні
Гульченко,Православні
Гуртовой,Православні
Данильченко,Православні
Дерманський,Православні
Дідура,Православні
Діляров,Православні
Добровольський,Православні
Довганюк,Православні
Єрьоменко,Православні
Жиліненко,Православні
Запорожець,Православні
Заремба,Православні
Іванов,Православні
Ільченко,Православні
Каленичук,Православні
Кириченко,Православні
Кліщевський,Православні
Клочан,Православні
Ковтюх,Православні
Колесник,Православні
Колесниченко,Православні
Колесничук,Православні
Коновка,Православні
Корінний,Православні
Костюк,Православні
Кравець,Православні
Кулинич,Православні
Куницький,Православні
Кучерук,Православні
Лисий,Православні
Малаховецький,Православні
Малиновський,Православні
Малогловець,Православні
Мамлілюк,Православні
Мартинюк,Православні
Матвєєв,Православні
Микульський,Православні
Мілірсон,Православні
Молчановський,Православні
Монька,Православні
Мороз,Православні
Музиченко,Православні
Нагорний,Православні
Наконечний,Православні
Нижнюк,Православні
Ніжинський,Православні
Ножнюк,Православні
Овчаренко,Православні
Околитенко,Православні
Ольшевський,Православні
Островський,Православні
Панасенко,Православні
Панасюк,Православні
Плошук,Православні
Поліщук,Православні
Полярушенко,Православні
Попик,Православні
Ревнюк,Православні
Рудий,Православні
Рудь,Православні
Савченко,Православні
Сарницький,Православні
Семенюк,Православні
Склярук,Православні
Скрипниченко,Православні
Слободяник,Православні
Слупицький,Православні
Смульський,Православні
Сторожук,Православні
Струц,Православні
Талан,Православні
Тарасюк,Православні
Телепенька,Православні
Тонюк,Православні
Тумалевський,Православні
Усенко,Православні
Філобоченко,Православні
Футоран,Православні
Худолій,Православні
Чекаленко,Православні
Черниш,Православні
Чопенко,Православні
Чорний,Православні
Шевчук,Православні
Шиповалов,Православні
Щербина,Православні
Якимчук,Православні
Яремчук,Православні
Ярченко,Православні
Графман,Юдеї
