Прізвище,сповідання
Балацький,православний
Білоус,православний
Білоцький,православний
Білоцький,лютеранин
Бойченко,православний
Брандєс,юдей
Брандіс,юдей
Васківський,православний
Васьковський,православний
Вітюк,православний
Волотовський,православний
Гєйзбєрг,юдей
Дідковський,православний
Добровольський,православний
Елєс,православний
Ковальчук,православний
Комаровський,православний
Кравчук,православний
Кравчук-Савчук,православний
Краснодимський,православний
Красовський,православний
Лєбєдєв,православний
Максимчук,православний
Мартинюк,православний
Масловський,православний
Мельник,православний
Мельничук,православний
Михальчук,православний
Можаровський,православний
Новицький,православний
Остапчук,православний
Петровський,католик
Петроковський,православний
Пилипчук,православний
Плахецький,лютеранин
Плахоцький,католик
Порицький,православний
Потапальський,православний
Потопальський,православний
Радченко,православний
Савчук,православний
Сенюченко,православний
Сергєєнко,православний
Синьчук,православний
Слобонюк,православний
Соловйов,православний
Старовойт,православний
Стельмащук,православний
Стеценко,православний
Стецюк,православний
Тешкевич,православний
Тишкевич,православний
Торкуллов,католик
Туркулов,православний
Туркулов,католик
Туркуль,православний
Федорчук,православний
Цапок,православний
