Прізвище,Релігія,Примітка
Бабій,Православні,
Баран,Православні,
Безносюк,Православні,
Бердега,Православні,
Береговий,Православні,
Береговой,Православні,
Беренштейн,Юдеї,
Беренштейнов,Юдеї,
Берлісон,Юдеї,
Бєлозор,Православні,
Білозор,Православні,
Богач,Православні,
Боднєв,Православні,
Бодня,Православні,
Брицький,Православні,
Бурба,Православні,
Буцен,Православні,Садиба І.М.Терещенка
Василієв,Православні,
Васильєв,Православні,
Виницький,Православні,
Вовнянка,Православні,
Вовнянко,Православні,
Воронюк,Православні,
Гайдай,Православні,
Галак,Православні,
Годза,Православні,
Гольопка,Православні,
Гонта,Православні,
Грановський,Юдеї,
Гриновський,Юдеї,
Гринчишин,Православні,
Гринчук,Православні,
Губченко,Православні,
Гуменюк,Православні,
Гуць,Православні,
Добранський,Православні,
Добридень,Православні,
Жуковський,Православні,
Журба,Православні,
Заболотянка,Православні,
Завіша,Православні,Садиба І.М.Терещенка
Завіша,Католики,
Зилінський,Православні,
Калоник,Православні,
Кальніцький,Православні,
Керн,Католики,
Кириченко,Православні,
Ковальчук,Православні,
Козаченко,Православні,
Коломєєць,Православні,
Комар,Православні,
Король,Православні,
Косенко,Православні,
Костишин,Православні,
Костюк,Православні,
Криворучка,Православні,
Кудравцев,Православні,Садиба І.М.Терещенка
Кудрицький,Православні,
Кузницов,Православні,
Кульчицький,Православні,Садиба І.М.Терещенка
Курніцький,Православні,
Кучеравий,Православні,
Левченко,Православні,
Лемещук,Православні,
Ляховецький,Православні,
Ляхович,Католики,
Мазепа,Православні,
Мазуренко,Православні,
Мазуркевич,Православні,
Маснюк,Православні,
Махиборода,Православні,
Мацієвський,Православні,
Маціон,Православні,
Маслов,Православні,Садиба І.М.Терещенка
Мороз,Православні,
Мудренко,Православні,
Новицький,Католики,
Ольшанський,Православні,
Остапчук,Православні,
Палійчук,Православні,
Панчук,Православні,
Пастухов,Православні,
Передирій,Православні,
Петровський,Православні,
Плахтійчук,Православні,
Пляцек,Православні,
Погорєлов,Православні,
Погорілов,Православні,Садиба І.М.Терещенка
Поліщук,Православні,
Похилка,Православні,
Походун,Православні,
Пуделко,Православні,
Радишевський,Католики,
Радчук,Православні,
Рак,Православні,
Розумович,Православні,
Савченко,Православні,
Семьончик,Православні,
Семчук,Православні,Садиба І.М.Терещенка
Слободяник,Православні,
Снігур,Православні,
Сокур,Православні,
Степовик,Православні,
Стипанишин,Православні,
Стиповик,Православні,
Табашнюк,Православні,
Танчук,Православні,
Терещук,Православні,
Ткач,Православні,
Ткачук,Православні,
Хамро,Православні,
Хараневич,Православні,
Харук,Православні,
Царук,Православні,
Червінський,Православні,
Черній,Православні,
Чмут,Православні,Садиба І.М.Терещенка
Чоловський,Православні,
Чоплюк,Православні,
Шайновський,Православні,
Шибінський,Православні,
Юрчишин,Православні,
