Прізвище,Релігія,Примітка
Бабій,православний,
Бойко,православний,
Боржковський,православний,
Бровчук,православний,
Будаловський,православний,
Бураковський,православний,
Бурдейний,православний,
Василик,православний,
Вдовиченко,православний,
Виницький,православний,
Гаврилюк,православний,
Галущак,православний,пом славицький
Гапонов,православний,
Гнатюк,православний,
Гончарук,православний,
Гопенко,православний,
Григоренко,православний,
Гринюк,православний,
Грушовенко,православний,
Демедюк,православний,
Дзюбиченко,православний,пом славицький
Дідур,православний,
Діхтярук,православний,
Дьячук,православний,
Жовтобруха,православний,
Зарудка,православний,
Зозуля,православний,
Іванишин,православний,
Ільченко,православний,пом славицький
Килимник,православний,
Козаченко,православний,
Козлик,православний,
Козубенко,православний,
Колдунов,православний,
Коливошка,православний,
Коломієць,православний,
Котвіцький,православний,
Кравцов,православний,
Крисюк,православний,
Кушталь,православний,
Лисак,православний,
Лисенко,православний,
Лиховидюк,православний,
Мазурик,православний,
Мальований,православний,пом славицький
Мацієвський,православний,
Медвідь,православний,
Мельник,православний,
Мельничук,православний,
Митка,православний,
Мовчанюк,православний,
Мошинський,православний,
Нагога,православний,
Нечай,православний,
Ніколенко,православний,
Осипчук,православний,пом славицький
Островський,православний,
Панченко,православний,
Подгородецький,православний,
Покотило,православний,
Поліщук,православний,
Поплавський,православний,
Порохня,православний,
Посесор,православний,
Премиський,православний,
Рахман,православний,
Рибак,православний,
Роєнко,православний,
Романюк,православний,
Сакович,православний,пом славицький
Святигора,православний,пом славицький
Серебрінський,православний,
Славінський,православний,
Слободяник,православний,
Соновський,православний,
Сорока,православний,
Тимановський,православний,
Тишко,православний,
Ткачук,православний,
Цапійчук,православний,
Царук,православний,
Чвертка,православний,
Чернега,православний,
Черновол,православний,
Чоканюк,православний,
Чопенко,православний,
Чорний,православний,пом славицький
Шевченко,православний,
Шевчук,православний,
Штондюк,православний,
Щупаковський,православний,
Яковенко,православний,
Ящуринський,православний,
Каліський,юдей,
Каплун,юдей,
Кельман,юдей,
Окс,юдей,
Серебряний,юдей,
Трубнік,юдей,
Шварцштейн,юдей,
Жлобніцький,католик,
Худзінський,католик,
Щепанський,католик,
Юхневич,католик,
